code,datetime,open,high,low,close,volume,value,date,minute_of_day,prev_close,ret_1m,range_pos,upper_shadow_ratio,body_ratio,vol_ma20,value_ma20,vol_slot_ma5,value_slot_ma5,vol_ratio_20,vol_ratio_slot,spike_hit,spike_hits_5m,score,fwd_ret_5m_pct,fwd_ret_15m_pct,fwd_ret_30m_pct,rank_at_minute
086520,2026-01-27 10:13:00,134300.0,136400.0,134200.0,136100.0,125360,610238106750,2026-01-27,613,134200.0,0.014157973174366623,0.8636363636363636,0.13636363636363635,0.8181818181818182,41635.8,518224036120.0,18365.75,216728516975.0,3.0108704528314574,6.825749016511713,1,5.0,1.6675430704624323,-0.07347538574578039,-0.29390154298309934,-1.3960323291697274,1
006400,2026-01-27 12:45:00,383000.0,384500.0,382500.0,384500.0,14371,364401831250,2026-01-27,765,383000.0,0.003916449086161844,1.0,0.0,0.75,1924.3,349314400612.5,3790.0,734291699100.0,7.468170243724991,3.791820580474934,1,4.0,1.561566484782211,0.5201560468140354,0.910273081924573,0.6501950585175553,1
000660,2026-01-28 09:53:00,825000.0,832000.0,824000.0,832000.0,78594,1227282197500,2026-01-28,593,825000.0,0.00848484848484854,1.0,0.0,0.875,12511.85,1037802840400.0,6930.2,807493737700.0,6.28156507630766,11.340798245360885,1,4.0,2.0029535818190847,0.0,1.2019230769230838,0.9615384615384581,1
000660,2026-01-28 09:56:00,830000.0,834000.0,830000.0,833000.0,67976,1361995541000,2026-01-28,596,830000.0,0.0036144578313253017,0.75,0.25,0.75,19654.2,1081396076925.0,10288.2,827843974000.0,3.4585991798190716,6.6071810423592074,1,5.0,1.528000692307473,0.12004801920768582,1.200480192076836,1.3205282112845218,1
035420,2026-01-28 12:15:00,279000.0,280000.0,278250.0,280000.0,18865,357327514500,2026-01-28,735,278500.0,0.0053859964093356805,1.0,0.0,0.5714285714285714,5782.2,330914502075.0,2815.2,587627280200.0,3.2625990107571514,6.701122477976698,1,4.0,1.5568623634426881,0.17857142857142794,0.3571428571428559,0.3571428571428559,1
012330,2026-01-29 09:18:00,453000.0,457500.0,452500.0,457500.0,17021,47349841500,2026-01-29,558,453500.0,0.008820286659316334,1.0,0.0,0.9,4884.166666666667,16925741111.11111,2872.0,62051630250.0,3.4849343115509295,5.9265320334261835,1,4.0,1.5784693140330681,0.10928961748633004,-1.4207650273224015,-1.3114754098360604,1
035420,2026-01-29 13:03:00,286500.0,288000.0,286000.0,287500.0,54258,506780453250,2026-01-29,783,286500.0,0.003490401396160525,0.75,0.25,0.5,7982.65,459539748850.0,3806.2,681368410300.0,6.796990974175243,14.255162629394148,1,4.0,2.0348773717735718,-0.17391304347825765,-0.17391304347825765,-0.260869565217392,1
035420,2026-01-29 13:04:00,287500.0,290000.0,287500.0,289500.0,81057,530202116750,2026-01-29,784,287500.0,0.006956521739130528,0.8,0.2,0.8,10570.05,462554822212.5,5310.2,682827260000.0,7.668554074957073,15.264396821212008,1,4.0,2.1552838409686395,-0.8635578583765069,-1.0362694300518172,-0.8635578583765069,1
005380,2026-02-03 12:07:00,491500.0,493500.0,491500.0,493000.0,19941,705934227000,2026-02-03,727,491500.0,0.003051881993896277,0.75,0.25,0.75,4860.05,662132635525.0,3017.0,1103414979000.0,4.103044207364122,6.609545906529665,1,4.0,1.566952847438977,-0.30425963488843744,-0.30425963488843744,0.0,1
051910,2026-02-03 14:51:00,302750.0,304000.0,302750.0,304000.0,8225,80491176000,2026-02-03,891,303000.0,0.0033003300330032292,1.0,0.0,1.0,1507.25,71691446625.0,1736.2,145722828250.0,5.456958036158567,4.737357447298698,1,4.0,1.5384597888051754,0.164473684210531,0.49342105263157077,,1
