code,datetime,open,high,low,close,volume,value,date,minute_of_day,prev_close,ret_1m,range_pos,upper_shadow_ratio,body_ratio,vol_ma20,value_ma20,vol_slot_ma5,value_slot_ma5,vol_ratio_20,vol_ratio_slot,spike_hit,spike_hits_5m,score,fwd_ret_5m_pct,fwd_ret_15m_pct,fwd_ret_30m_pct,rank_at_minute
000270,2026-02-11 12:52:00,160900.0,161200.0,160900.0,161100.0,22090,161705646200,2026-02-11,772,160900.0,0.0012430080795524656,0.6666666666666666,0.3333333333333333,0.6666666666666666,2265.6,153527630812.5,3274.2,136003731570.0,9.750176553672317,6.746686213426181,1,4.0,1.8044705417913927,-0.062073246430793816,-0.12414649286157653,-0.3103662321539469,1
000660,2026-01-28 09:53:00,825000.0,832000.0,824000.0,832000.0,78594,1227282197500,2026-01-28,593,825000.0,0.00848484848484854,1.0,0.0,0.875,12511.85,1037802840400.0,6930.2,807493737700.0,6.28156507630766,11.340798245360885,1,4.0,2.0029535818190847,0.0,1.2019230769230838,0.9615384615384581,1
000660,2026-02-20 10:35:00,901000.0,905000.0,899000.0,903000.0,42827,796728154000,2026-02-20,635,900000.0,0.0033333333333334103,0.6666666666666666,0.3333333333333333,0.3333333333333333,11082.55,610775660525.0,5415.0,1250366875300.0,3.864363345980844,7.908956602031394,1,5.0,1.621186587076362,1.882613510520481,1.439645625692143,2.657807308970095,1
003670,2026-02-25 11:34:00,246000.0,247000.0,245500.0,247000.0,10498,64792579750,2026-02-25,694,246500.0,0.0020283975659229903,1.0,0.0,0.6666666666666666,3472.7,49600953587.5,1063.0,55524106700.0,3.023008034094509,9.8758231420508,1,4.0,1.6415804443910684,-0.4048582995951455,-1.0121457489878583,-0.6072874493927127,1
005380,2026-02-03 12:07:00,491500.0,493500.0,491500.0,493000.0,19941,705934227000,2026-02-03,727,491500.0,0.003051881993896277,0.75,0.25,0.75,4860.05,662132635525.0,3017.0,1103414979000.0,4.103044207364122,6.609545906529665,1,4.0,1.566952847438977,-0.30425963488843744,-0.30425963488843744,0.0,1
005380,2026-02-11 09:55:00,490500.0,494500.0,490000.0,493500.0,33105,233785243250,2026-02-11,595,491000.0,0.005091649694501044,0.7777777777777778,0.2222222222222222,0.6666666666666666,8300.9,169355463737.5,3473.0,334158308600.0,3.9881217699285623,9.532104808522892,1,4.0,1.7372271251991016,1.2158054711246091,1.9250253292806496,1.1144883485308954,1
005380,2026-02-19 13:02:00,508000.0,510000.0,507000.0,509500.0,43327,448447200250,2026-02-19,782,508000.0,0.0029527559055118058,0.8333333333333334,0.16666666666666666,0.5,5783.8,389703580750.0,3041.8,605419506750.0,7.491095819357516,14.243868761917286,1,4.0,2.0604941457832058,0.6869479882237517,1.8645731108930308,1.3738959764475034,1
005380,2026-02-26 14:01:00,585000.0,590000.0,585000.0,590000.0,27453,822117843500,2026-02-26,841,586000.0,0.006825938566553003,1.0,0.0,1.0,7994.3,740036323375.0,1621.6,659111013800.0,3.4340717761405,16.92957572767637,1,5.0,1.9725537141396625,1.016949152542379,0.9322033898305104,2.203389830508473,1
005380,2026-02-27 11:51:00,616000.0,625000.0,615000.0,623000.0,55127,676282658000,2026-02-27,711,615500.0,0.012185215272136452,0.8,0.2,0.7,6881.75,588638632500.0,1368.2,476863164950.0,8.010607766919751,40.29162403157433,1,4.0,2.6665159646516363,2.1669341894061,3.370786516853941,4.3338683788122,1
005490,2026-02-05 10:12:00,378500.0,380000.0,378500.0,380000.0,18520,192843500000,2026-02-05,612,378500.0,0.003963011889035695,1.0,0.0,1.0,4846.05,161543471175.0,1889.4,100034457650.0,3.8216691944986123,9.802053561977347,1,4.0,1.7309185565514251,-0.39473684210525883,-0.7894736842105288,-1.1842105263157876,1
006400,2026-01-27 12:45:00,383000.0,384500.0,382500.0,384500.0,14371,364401831250,2026-01-27,765,383000.0,0.003916449086161844,1.0,0.0,0.75,1924.3,349314400612.5,3790.0,734291699100.0,7.468170243724991,3.791820580474934,1,4.0,1.561566484782211,0.5201560468140354,0.910273081924573,0.6501950585175553,1
006400,2026-02-05 10:13:00,397000.0,399500.0,396500.0,399500.0,21124,168805204500,2026-02-05,613,397000.0,0.006297229219143663,1.0,0.0,0.8333333333333334,4656.1,136727276250.0,3495.8,184782966300.0,4.5368441399454476,6.042679787173179,1,4.0,1.6218520165007917,-0.5006257822277815,-1.0012515644555742,-1.3767209011264048,2
006400,2026-02-19 14:50:00,392500.0,395000.0,391500.0,395000.0,18123,214123663250,2026-02-19,890,392500.0,0.006369426751592355,1.0,0.0,0.7142857142857143,5450.2,171033966812.5,1033.6,158495717100.0,3.3251990752632934,17.53386222910217,1,4.0,1.9719215125496143,-0.75949367088608,1.3924050632911467,3.2911392405063244,1
006400,2026-02-25 13:15:00,428500.0,431000.0,428500.0,430750.0,27778,247697207250,2026-02-25,795,428500.0,0.0052508751458575365,0.9,0.1,0.9,2710.2,217868022625.0,1748.6,194276444800.0,10.249428086488082,15.885851538373556,1,4.0,2.2427884167945935,2.031340684852001,2.031340684852001,2.147417295414966,1
009150,2026-02-24 11:16:00,433500.0,435000.0,432750.0,434750.0,10434,259351907250,2026-02-24,676,433500.0,0.0028835063437140374,0.8888888888888888,0.1111111111111111,0.5555555555555556,2933.95,239096411750.0,1689.8,224862442800.0,3.556297823752961,6.174695230204758,1,4.0,1.5052278120086529,0.17251293847038163,-0.7475560667050019,0.05750431282345314,1
012330,2026-01-29 09:18:00,453000.0,457500.0,452500.0,457500.0,17021,47349841500,2026-01-29,558,453500.0,0.008820286659316334,1.0,0.0,0.9,4884.166666666667,16925741111.11111,2872.0,62051630250.0,3.4849343115509295,5.9265320334261835,1,4.0,1.5784693140330681,0.10928961748633004,-1.4207650273224015,-1.3114754098360604,1
035420,2026-01-28 12:15:00,279000.0,280000.0,278250.0,280000.0,18865,357327514500,2026-01-28,735,278500.0,0.0053859964093356805,1.0,0.0,0.5714285714285714,5782.2,330914502075.0,2815.2,587627280200.0,3.2625990107571514,6.701122477976698,1,4.0,1.5568623634426881,0.17857142857142794,0.3571428571428559,0.3571428571428559,1
035420,2026-01-29 13:03:00,286500.0,288000.0,286000.0,287500.0,54258,506780453250,2026-01-29,783,286500.0,0.003490401396160525,0.75,0.25,0.5,7982.65,459539748850.0,3806.2,681368410300.0,6.796990974175243,14.255162629394148,1,4.0,2.0348773717735718,-0.17391304347825765,-0.17391304347825765,-0.260869565217392,1
035420,2026-02-23 09:26:00,259500.0,261000.0,259500.0,260750.0,19854,43909227500,2026-02-23,566,260000.0,0.0028846153846153744,0.8333333333333334,0.16666666666666666,0.8333333333333334,4442.95,24591370137.5,2876.2,54627438650.0,4.468652584431515,6.902857937556498,1,4.0,1.6098481939121871,-0.47938638542665,-0.8628954937679789,-0.8628954937679789,1
035720,2026-02-09 10:05:00,58100.0,58400.0,58000.0,58300.0,46111,39124034650,2026-02-09,605,58100.0,0.0034423407917383297,0.75,0.25,0.5,5312.0,33122217915.0,7911.0,50129834730.0,8.680534638554217,5.828719504487423,1,4.0,1.7481878364667403,-0.17152658662092923,-0.34305317324184736,-0.5145797598627766,1
051910,2026-02-03 14:51:00,302750.0,304000.0,302750.0,304000.0,8225,80491176000,2026-02-03,891,303000.0,0.0033003300330032292,1.0,0.0,1.0,1507.25,71691446625.0,1736.2,145722828250.0,5.456958036158567,4.737357447298698,1,4.0,1.5384597888051754,0.164473684210531,0.49342105263157077,,1
066570,2026-02-19 11:26:00,122000.0,122600.0,121900.0,122400.0,52327,135808947200,2026-02-19,686,121900.0,0.00410172272354381,0.7142857142857143,0.2857142857142857,0.5714285714285714,7855.95,115394084475.0,3592.8,270128501650.0,6.6608112322507145,14.564406590959697,1,5.0,2.045125391031363,-0.4901960784313708,-1.06209150326797,-1.1437908496731986,1
086520,2026-01-27 10:13:00,134300.0,136400.0,134200.0,136100.0,125360,610238106750,2026-01-27,613,134200.0,0.014157973174366623,0.8636363636363636,0.13636363636363635,0.8181818181818182,41635.8,518224036120.0,18365.75,216728516975.0,3.0108704528314574,6.825749016511713,1,5.0,1.6675430704624323,-0.07347538574578039,-0.29390154298309934,-1.3960323291697274,1
086520,2026-02-09 14:47:00,158400.0,159600.0,158300.0,159500.0,47987,424944707450,2026-02-09,887,158400.0,0.00694444444444442,0.9230769230769231,0.07692307692307693,0.8461538461538461,10888.7,391369366180.0,6719.8,755258744740.0,4.4070458365094085,7.14113515283193,1,5.0,1.6846348542670437,-0.5642633228840177,1.8181818181818077,0.5015673981191293,1
086520,2026-02-12 10:35:00,155400.0,156400.0,155400.0,156200.0,39805,121843853500,2026-02-12,635,155400.0,0.005148005148005064,0.8,0.2,0.8,8112.2,99179705522.5,4486.6,184835891180.0,4.906807031384828,8.871974323541211,1,5.0,1.7692219140216,-0.7042253521126751,-0.4481434058898892,-0.1280409731113985,1
086520,2026-02-19 10:08:00,153600.0,155400.0,153500.0,155300.0,57205,99122948350,2026-02-19,608,153600.0,0.01106770833333326,0.9473684210526315,0.05263157894736842,0.8947368421052632,7975.55,73819084747.5,5966.0,114982251610.0,7.172546093999786,9.588501508548442,1,5.0,2.01055311300622,1.2234385061171915,1.481004507405026,6.567933032839668,1
086520,2026-02-25 13:49:00,176900.0,178200.0,176600.0,178100.0,57315,287468847550,2026-02-25,829,176900.0,0.006783493499151971,0.9375,0.0625,0.75,14470.55,242312837645.0,1673.8,426030742090.0,3.960803148463604,34.24244234675589,1,4.0,2.3121890780821603,-0.6176305446378483,-0.7860752386299796,-0.16844469399214246,1
196170,2026-02-23 10:15:00,413000.0,414500.0,412500.0,414000.0,11330,50492306000,2026-02-23,615,412500.0,0.0036363636363636598,0.75,0.25,0.5,2000.95,33516129037.5,1622.0,54894975600.0,5.662310402558784,6.9852034525277436,1,5.0,1.6907242879421502,0.12077294685990392,0.24154589371980784,0.24154589371980784,1
