code,datetime,open,high,low,close,volume,value,date,minute_of_day,prev_close,ret_1m,range_pos,upper_shadow_ratio,body_ratio,vol_ma20,value_ma20,vol_slot_ma5,value_slot_ma5,vol_ratio_20,vol_ratio_slot,spike_hit,spike_hits_5m,score,fwd_ret_5m_pct,fwd_ret_15m_pct,fwd_ret_30m_pct,rank_at_minute
000270,2026-02-19 13:08:00,169700.0,170500.0,169700.0,170400.0,35772,147431413950,2026-02-19,788,169800.0,0.0035335689045936647,0.875,0.125,0.875,4532.55,131041249472.5,1090.2,130195964150.0,7.892246086639971,32.812328013208585,1,3.0,2.445937879890523,0.11737089201877549,-0.11737089201877549,-0.23474178403756207,1
000270,2026-02-27 14:09:00,208000.0,209500.0,207500.0,209500.0,26943,355301060550,2026-02-27,849,208000.0,0.007211538461538547,1.0,0.0,0.75,4851.35,339087788562.5,3770.0,168695845520.0,5.55371185340163,7.146684350132626,1,3.0,1.7601090887542592,-0.4773269689737458,-0.7159904534606243,-0.4773269689737458,1
000660,2026-01-23 12:06:00,758000.0,762000.0,757000.0,762000.0,53224,1116445924000,2026-01-23,726,758000.0,0.005277044854881341,1.0,0.0,0.8,5805.85,1022729668350.0,6424.0,1508227388166.6667,9.167305390252935,8.285180572851806,1,3.0,1.9436565382965338,-0.45931758530183275,-0.3937007874015741,-0.7874015748031482,1
000660,2026-01-27 12:38:00,789500.0,792000.0,789000.0,792000.0,51558,2747685514000,2026-01-27,758,790000.0,0.0025316455696202667,1.0,0.0,0.8333333333333334,12337.05,2604100764025.0,5032.2,1518373742500.0,4.17911899522171,10.245618218671755,1,3.0,1.7525872733240329,-0.37878787878787845,-0.5050505050505083,-0.5681818181818232,1
000660,2026-01-28 09:53:00,825000.0,832000.0,824000.0,832000.0,78594,1227282197500,2026-01-28,593,825000.0,0.00848484848484854,1.0,0.0,0.875,12511.85,1037802840400.0,6930.2,807493737700.0,6.28156507630766,11.340798245360885,1,4.0,2.0029535818190847,0.0,1.2019230769230838,0.9615384615384581,1
000660,2026-01-30 13:09:00,908000.0,912000.0,908000.0,912000.0,30425,4595331320500,2026-01-30,789,909000.0,0.0033003300330032292,1.0,0.0,1.0,7043.9,4492449665825.0,5451.8,2743444791000.0,4.319340138275671,5.58072563190139,1,3.0,1.532342449968403,-0.7675438596491224,-0.7675438596491224,-0.43859649122807154,1
000660,2026-02-13 13:30:00,894000.0,897000.0,894000.0,897000.0,22935,2002466267500,2026-02-13,810,895000.0,0.0022346368715084886,1.0,0.0,1.0,6667.55,1917383752450.0,5494.6,2482957659500.0,3.4397942272648874,4.174098205510865,1,3.0,1.344881642501264,0.16722408026756952,0.0,0.0,1
000660,2026-02-20 10:33:00,893000.0,900000.0,893000.0,899000.0,58594,702281521500,2026-02-20,633,894000.0,0.005592841163311046,0.8571428571428571,0.14285714285714285,0.8571428571428571,5357.25,593663642900.0,9476.6,1240348940100.0,10.937327920108265,6.1830192263047925,1,3.0,1.8819082719065952,1.8909899888765347,1.4460511679644128,3.2258064516129004,1
000660,2026-02-26 12:27:00,1041000.0,1043000.0,1041000.0,1043000.0,15886,2568648788500,2026-02-26,747,1041500.0,0.001440230436869916,1.0,0.0,1.0,3451.1,2513163860200.0,4813.6,1929341887600.0,4.603170003766915,3.300232674090078,1,3.0,1.3311709441125386,-0.19175455417066445,-0.09587727708533222,-0.19175455417066445,1
003550,2026-02-03 15:16:00,91200.0,91500.0,91200.0,91500.0,4323,21471637500,2026-02-03,916,91200.0,0.00328947368421062,1.0,0.0,1.0,1286.55,19855871595.0,1239.0,27784530440.0,3.360149236329719,3.4891041162227605,1,3.0,1.2904632240392078,,,,1
003670,2026-01-26 10:33:00,223000.0,223500.0,222000.0,223500.0,7895,64378951500,2026-01-26,633,223000.0,0.0022421524663676085,1.0,0.0,0.3333333333333333,2519.3,55542582912.5,2066.6666666666665,94913210133.33333,3.1338070098836974,3.820161290322581,1,4.0,1.2881151843866498,-0.6711409395973145,-0.22371364653244186,-0.4474272930648726,1
003670,2026-02-04 11:08:00,231500.0,232750.0,231500.0,232500.0,8286,70041692000,2026-02-04,668,231500.0,0.004319654427645814,0.8,0.2,0.8,2135.75,62139339050.0,2382.8,98042560250.0,3.879667564087557,3.4774215208997816,1,3.0,1.3341430971285386,0.0,-0.8602150537634357,-0.6451612903225823,1
003670,2026-02-10 09:27:00,221000.0,223500.0,220500.0,223500.0,9474,20105658000,2026-02-10,567,221000.0,0.011312217194570096,1.0,0.0,0.8333333333333334,2692.75,12718305387.5,1767.8,23819608000.0,3.518336273326525,5.359203529811065,1,3.0,1.5799900159123508,-0.4474272930648726,-0.4474272930648726,-0.4474272930648726,1
