evidence_id,surface_kind,surface_ref,existence,binding_basis
RC-EV-001,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-002,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-003,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-004,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-005,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-006,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-007,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-008,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-009,FAULT,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-010,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-011,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-012,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-013,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-014,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-015,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-016,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-017,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
RC-EV-018,FAULT,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-001,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-002,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-003,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-004,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-005,FAULT,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-005,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-006,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-007,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-008,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-009,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-010,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-011,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-012,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-013,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-014,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
SA-EV-015,FAULT,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-001,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-002,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-004,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-005,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-006,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-007,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-008,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-009,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-010,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-011,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-012,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
BC-EV-013,RUNTIME,PLANNED_UNASSIGNED,ABSENT,VER-002-001 §5
